"Name","Sex","Event","Equipment","Age","AgeClass","BirthYearClass","Division","BodyweightKg","WeightClassKg","Squat1Kg","Squat2Kg","Squat3Kg","Squat4Kg","Best3SquatKg","Bench1Kg","Bench2Kg","Bench3Kg","Bench4Kg","Best3BenchKg","Deadlift1Kg","Deadlift2Kg","Deadlift3Kg","Deadlift4Kg","Best3DeadliftKg","TotalKg","Place","Dots","Wilks","Glossbrenner","Goodlift","Tested","Country","State","Federation","ParentFederation","Date","MeetCountry","MeetState","MeetTown","MeetName","Sanctioned"
"Matthew Zwiren","M","SBD","Single-ply",21.5,"20-23","19-23","M-C",71.9,"74",195,205,-215,NA,205,145,-155,155,NA,155,195,207.5,-215,NA,207.5,567.5,"11",418.56,416.81,403.46,71.67,"Yes","USA","VA","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Dmitry Rivin","M","SBD","Raw",21.5,"20-23","19-23","MR-C",64.8,"66",-127.5,127.5,135,NA,135,77.5,82.5,-85,NA,82.5,162.5,170,180,NA,180,397.5,"31",315.76,316.91,308.22,62.57,"Yes","USA","MD","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Haley Hershey","F","SBD","Raw",19.5,"20-23","19-23","FR-C",64.4,"72",90,97.5,-102.5,NA,97.5,55,57.5,62.5,NA,62.5,107.5,-112.5,117.5,NA,117.5,277.5,"23",294.52,293.14,258.78,59.87,"Yes","USA","MD","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Caitlin Adams","F","SBD","Raw",20.5,"20-23","19-23","FR-C",55.9,"57",107.5,110,112.5,NA,112.5,62.5,-67.5,67.5,NA,67.5,137.5,145,152.5,NA,152.5,332.5,"3",385.86,391.77,346.55,79.16,"Yes","USA","MD","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Katie Ruland","F","SBD","Raw",21.5,"20-23","19-23","FR-C",51,"52",70,77.5,-82.5,NA,77.5,52.5,57.5,-60,NA,57.5,97.5,-105,107.5,NA,107.5,242.5,"8",299.62,306.86,272.22,62.28,"Yes","USA","MD","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Ethan Durham","M","SBD","Single-ply",21.5,"20-23","19-23","M-C",91.7,"93",-265,272.5,282.5,NA,282.5,170,182.5,190,NA,190,-242.5,242.5,265,NA,265,737.5,"9",472.45,466.44,446.68,80.57,"Yes","USA","MD","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Carter Burn","M","SBD","Single-ply",20.5,"20-23","19-23","M-C",91.6,"93",252.5,267.5,277.5,NA,277.5,175,-182.5,182.5,NA,182.5,272.5,287.5,-305,NA,287.5,747.5,"8",479.12,473.02,453,81.71,"Yes","USA","MD","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Parker Sharp","M","SBD","Single-ply",21.5,"20-23","19-23","M-C",77.3,"83",172.5,-185,192.5,NA,192.5,132.5,152.5,-162.5,NA,152.5,180,202.5,-215,NA,202.5,547.5,"26",385.42,382.19,368.8,66,"Yes","USA","UT","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Dong-Won Lee","M","SBD","Single-ply",22.5,"20-23","19-23","M-C",82.3,"83",-210,220,-230,NA,220,140,145,152.5,NA,152.5,220,235,245,NA,245,617.5,"17",418.87,414.27,398.65,71.66,"Yes","USA","MD","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Anthony White #3","M","SBD","Single-ply",24.5,"24-34","24-39","M-C",80.1,"83",260,270,275,NA,275,210,220,-230,NA,220,255,265,285,NA,285,780,"3",537.45,532.09,512.65,91.99,"Yes","USA","MD","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Jordan Gonyea","M","SBD","Single-ply",19.5,"20-23","19-23","M-C",70.7,"74",-185,195,-207.5,NA,195,107.5,112.5,117.5,NA,117.5,212.5,220,227.5,NA,227.5,540,"16",402.85,401.62,389.05,68.97,"Yes","USA","MD","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Deon Odom","M","SBD","Single-ply",18.5,"18-19","19-23","M-C",73.4,"74",202.5,220,227.5,NA,227.5,130,-142.5,-142.5,NA,130,212.5,225,-235,NA,225,582.5,"10",423.77,421.44,407.59,72.57,"Yes","USA","MD","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"John Etherton","M","SBD","Raw",20.5,"20-23","19-23","MR-C",81.9,"83",200,210,-217.5,NA,210,-137.5,140,145,NA,145,215,225,-230,NA,225,580,"29",394.52,390.26,375.63,80.83,"Yes","USA","VA","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Brady Burman-Magday","M","SBD","Raw",19.5,"20-23","19-23","MR-C",73.5,"74",190,-202.5,-202.5,NA,190,127.5,130,-135,NA,130,205,220,235,NA,235,555,"8",403.41,401.15,387.94,81.77,"Yes","USA","MD","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Anthony Polo","M","SBD","Single-ply",18.5,"18-19","19-23","M-C",65.5,"66",160,170,177.5,NA,177.5,-105,-105,105,NA,105,180,190,-195,NA,190,472.5,"16",372.32,373.34,362.91,63.63,"Yes","USA","MD","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
